Verkiezing;;Gemeenteraad Amersfoort 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Amersfoort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Brink;Sporthal De Dissel;Sporthal De Dissel;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Gemeentehuis;De Observant;Sporthal Icoon;Sporthal Icoon;ABC-school De Bron;Adventkerk;Apostolisch Genootschap;Boogkerk;Burgemeester Molendijkflat;Café De Plank;De Faam;De Schaapskooi;Feefa;Fluor poppodium;Gymzaal Ariaweg;Gymzaal Dopheide;Gymzaal Dopheide;Gymzaal Lyceum De Amersfoortse Berg;Gymzaal Lyceum De Amersfoortse Berg;IKEA Drive-In;Kerkgebouw Het Brandpunt;Kindcentrum Vlinderslag;Martuskerk;Nieuw-Apostolische Kerk;Orthodoxe Parochie;Overseldert;Parkschool;Mobiel Stembureau Het Pluspunt;Prins Willem III-flat;Schoolgebouw de Baander;Schoolgebouw De Dubbelster;Schoolgebouw De Gondelier;Kindcentrum de Kei;Schoolgebouw De Zonnewijzer;Schoolgebouw GSG Guido vmbo;Schoolgebouw GSG Guido vmbo;Seniorenflat Otto Scheltus;Sociëteitsruimte Seniorenflat;Sporthal Rustenburg;Sporthal Rustenburg;Sporthal Zielhorst;Sporthal Zielhorst;Sint Ansfriduskerk;Undineflat;Verenigingsgebouw Juliana en Bernhard;A.K.V. Trefpunt Bokkeduinen;Westerkerk;Wijkcentrum Het Klokhuis;Zon en Schild;Woon- en zorgcentrum De Koperhorst;Houtrust;Restaurant de Hebberd;Schoolgebouw De Malelande;De Eemgaarde;Meander Medisch Centrum;Emmauskerk;Emmauskerk;Theater De Flint (Cultuurhuis);Station NS Hoofdingang;Da Vinci Eemland;bijgebouw Mevlana moskee;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Mobiel stembureau 1;Mobiel stembureau 2;Mobiel stembureau 3
;;9;Kok, D.;97;0;2;0;0;0;0;0;2;0;1;1;0;0;8;8;7;2;1;0;0;2;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;2;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;9;1;2;0;1;0;2;0;0;0;0;0;0;1;0
;;10;Stoelinga, W.M.;383;8;2;6;2;2;5;6;2;3;4;4;0;2;2;5;1;4;8;1;1;1;3;4;3;3;4;7;1;0;1;4;3;1;2;1;2;5;1;1;13;3;4;12;2;2;1;0;3;3;1;3;0;8;6;2;2;4;4;3;1;4;4;4;8;2;1;9;2;0;2;1;2;7;0;8;0;2;0;2;9;0;4;3;5;2;5;2;6;4;2;5;1;0;0;0;0;1;0;2;0;0;1;2;2;3;2;1;1;2;0;8;2;1;2;1;0;2;3;1;5;4;2;1;2;3;1;1;1;8;3;2;1;4;1;0;2;5;0;0;1;0;1
;;11;Bijvank, J.H.;104;0;1;0;0;0;0;0;0;0;1;0;0;0;11;7;10;2;0;1;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18;0;0;0;0;3;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;1;7;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;7;13;0;0;0;1;0;0;0;0;0;0;0;0;0
;;12;Otten, H.W.;43;11;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;1;0;0;2;1;0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;13;Schroth, O.A.;62;1;1;1;0;0;1;2;0;0;0;1;0;1;1;0;1;2;0;0;0;0;0;1;0;4;0;1;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;2;2;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;1;1;2;0;1;0;2;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;1;2;0;1;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0
;;14;Samson, J.M.;23;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;15;Bouman, J.F.;26;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
;;16;Smit, G.J.A.;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van der Spaa, P.;12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;18;Gravendaal, C.;29;2;0;1;0;0;0;0;1;1;1;0;0;0;2;0;0;0;2;0;1;0;0;0;0;0;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
7;SP (Socialistische Partij);;;3048;9;49;41;34;14;53;49;19;19;27;14;13;36;21;12;30;26;23;10;6;19;45;24;25;19;20;15;21;8;20;18;10;16;13;15;9;14;33;28;20;34;9;55;22;1;15;12;27;20;11;14;4;59;31;17;11;40;33;27;33;51;13;37;16;13;19;16;24;23;33;16;12;9;10;30;25;85;9;49;95;15;37;12;11;15;33;11;106;78;31;33;31;10;13;25;6;20;22;11;5;20;12;5;3;7;15;12;12;19;10;17;6;9;17;10;4;5;28;20;18;17;27;14;13;4;16;21;15;17;15;10;24;24;19;13;7;28;8;4;7;8;6
;;1;Kruyt, H.W.;1376;2;28;17;9;6;30;28;9;8;12;8;5;17;9;3;12;11;11;3;1;7;21;16;10;8;7;6;9;3;5;12;1;7;6;7;2;6;21;14;12;15;3;22;9;0;5;9;9;14;3;5;4;30;18;11;6;13;15;16;21;16;2;12;5;6;7;8;9;11;14;8;6;5;4;12;13;47;1;12;43;8;19;5;7;4;17;3;49;21;18;13;12;8;7;18;4;6;10;7;3;12;3;3;1;3;8;3;2;8;6;11;4;3;7;5;0;3;13;11;5;8;18;7;5;1;9;10;8;11;4;4;13;10;8;4;1;12;1;3;4;5;2
;;2;van Zon, J.;928;6;15;13;11;1;13;13;4;6;9;6;5;11;6;5;14;7;7;2;5;4;16;7;10;7;8;5;5;4;10;4;3;3;4;6;3;6;6;9;4;9;3;15;7;1;3;1;14;4;4;5;0;21;8;6;5;9;11;6;6;24;5;13;6;3;5;5;10;8;13;4;1;2;4;11;8;19;1;22;25;2;10;3;2;7;6;5;24;23;6;15;11;1;4;3;1;2;9;3;1;7;7;1;1;1;1;4;5;7;2;4;0;5;4;5;3;2;9;7;3;6;6;6;7;2;5;9;2;5;3;1;5;9;8;2;5;11;5;1;1;1;2
;;3;Wouters, C.M.;57;0;1;2;0;1;0;1;1;2;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;2;0;0;1;1;0;0;1;0;1;2;1;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;3;1;1;0;0;0;1;1;2;0;1;2;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0
;;4;Sikkema, A.;54;0;0;1;1;1;1;1;0;3;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0
;;5;Sickmann, J.W.M.;221;0;2;4;7;2;3;3;1;0;2;0;0;3;1;0;1;2;1;0;0;1;3;0;2;1;2;0;2;0;1;1;0;0;0;0;2;0;2;3;2;3;0;3;0;0;1;0;2;1;1;2;0;4;1;0;0;3;2;1;0;2;2;5;0;0;3;0;2;3;2;0;2;1;2;3;4;4;2;7;8;2;2;0;0;2;4;0;16;11;3;1;4;0;2;3;0;6;0;0;1;0;1;0;0;1;0;1;0;2;1;1;0;0;4;0;0;0;2;0;1;0;1;1;0;1;0;1;1;0;2;2;2;1;0;2;0;4;0;0;0;1;1
;;6;Veenbrink, M.T.G.;8;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Smits, C.H.E.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Hoezen, J.J.;12;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Kruyt-Horlings, A.;48;0;1;0;0;3;1;1;0;0;1;0;1;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;2;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;1;1;0;1;0;1;0;0;1;0;0;0;1;1;0;1;0;0;2;1;1;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;10;Beltman, B.;99;0;2;0;4;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;11;1;0;0;2;1;1;1;1;2;0;0;0;2;3;2;0;0;0;0;1;3;5;1;1;1;0;0;0;0;1;6;16;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;2;0;5;1;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;1;0
;;11;Wakka, J.B.;21;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0
;;12;Mollink, R.;9;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;13;de Smit-Sparreboom, A.B.;43;1;0;0;0;0;1;0;0;0;0;0;0;0;3;0;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0
;;14;van der Veer, S.;14;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0
;;15;Mossink, M.J.K.;58;0;0;0;1;0;0;0;0;0;0;0;1;1;0;3;0;2;2;2;0;5;0;0;0;0;0;1;1;0;0;0;1;0;1;2;0;0;1;0;0;0;1;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;2;0;2;1;1;0;0;0;0;0;0;0;0;0;0
;;16;Kooy, Y.;20;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Scholte, A.I.;17;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;18;Schoonheijm, W.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Gammeren, W.H.;10;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;20;Hijink, H.P.M.;31;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;2;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
8;Burger Partij Amersfoort (BPA);;;2378;23;63;26;12;5;38;40;15;10;26;13;10;15;23;23;20;21;37;20;13;23;15;8;33;19;25;17;22;5;27;19;12;13;2;14;20;15;14;15;39;52;8;48;11;5;10;15;36;23;7;5;9;58;28;17;5;20;24;30;26;31;9;55;26;4;26;16;15;18;43;7;19;16;12;15;17;20;11;17;40;1;24;9;14;27;9;6;46;26;16;10;13;4;8;11;8;8;18;5;6;13;4;3;4;9;13;9;12;4;7;21;5;4;5;6;5;14;17;23;8;10;18;8;10;12;5;8;19;21;7;17;17;23;28;8;7;11;7;6;3;8;6
;;1;van Wegen, J. J. W.;1674;18;51;19;8;4;28;30;11;6;18;10;6;10;17;12;14;12;24;10;6;8;8;5;25;12;18;10;13;3;18;12;8;9;1;9;11;12;9;12;26;40;5;33;7;5;4;8;17;16;7;4;7;32;16;13;3;14;14;22;16;23;6;43;14;1;16;13;9;17;35;5;14;11;9;15;13;19;10;15;31;1;19;5;12;15;7;3;37;16;16;5;10;3;6;8;7;5;18;5;5;11;3;2;2;8;9;5;3;4;5;16;4;1;4;5;3;6;16;20;5;8;11;3;9;9;2;7;16;19;5;6;15;20;21;6;7;8;4;4;3;6;5
;;2;Langendam, R;136;0;1;0;0;0;1;1;1;0;0;2;0;0;3;3;2;5;4;4;6;8;2;0;0;0;1;1;0;0;0;5;1;2;0;1;5;1;0;0;1;1;0;2;2;0;2;0;0;0;0;0;1;1;2;2;0;1;0;3;2;1;0;1;2;1;5;0;1;0;1;1;0;0;0;0;1;0;1;0;2;0;0;3;0;2;1;0;0;3;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;7;0;2;2;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;6;0;1;1;0;0;0;0;0;0;1;0
;;3;van der Kleijn, R J J;50;0;3;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;3;1;0;1;0;3;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;2;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0
;;4;Bos, M;53;1;2;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;4;1;0;1;0;7;2;0;0;0;0;1;1;0;2;1;0;0;2;0;2;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Nierkes, L;43;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;1;0;1;4;0;0;0;1;0;2;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;6;Erich, W J J;19;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
