Verkiezing;;Gemeenteraad Haarlem 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Haarlem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Het Stadhuis;Philharmonie;Zijlpoort;Stadsbibliotheek;Rosenstock Huessy Huis;Basisschool De Kring;Oud-Katholieke Kerk H.H. Anna en Maria;Activiteitencentrum Het Zaeltje van Rosehaghe;Speeltuin Klarenhof;Badhuis Leidseplein;Trefpunt 't Trionk;Pelgrimkerk;Tent Theemsplein;Tent Christiaan Huygensplein;Wijkcentrum Het Broederhuis;Wijkcentrum Oosterkerk;Tent Van Zeggelenplein;Gymzaal De Viersprong;Reinaldahuis;Tent Mohammed Hattastraat;Activiteitencentrum & Regiokantoor DOCK;Tent Zomervaart;Speeltuinvereniging Kindervreugd;Buurtcentrum de Hamelink;Waarderpolder;Eerste Christelijke Lyceum (ECL);OBS Bos en Vaart;Provincie Noord-Holland;Verpleeghuis Zuiderhout;Tent Spaar en Hout;HART Haarlem;Buurtcentrum De Tulp;Fonteinkerk;Koningkerk;Willem van Oranjeschool;Speeltuinvereniging Elba;Basisschool De Cirkel;Vrije school Kennemerland;De Goede Herderkerk;Wijkcentrum De Horizon;Tent Santpoorterstraat;Basisschool Ter Cleeff (Gymzaal);Haarlemse Korfbal Club;Ontmoetingscentrum De Schakel;Tent Elzenplein;Backstop;Gymzaal Liduinaschool;Tent Herman Heijermansplein;Schoterhof;Scouting Menno Simonsz;Speeltuin D.V.S.;Scouting Brigitta;Gymzaal De Dolfijn;Johan Limpershof;Stg. Wijkgebouw Hof van Eden;RK Basisschool Sint Bavo;Dienstgebouw Oude Kerk;Novacollege Zijlweg;Fablo Tennishal;Tent Duinroosplantsoen;Tent Beneluxplein;Tent Rozemarijn KDC;Wijkcentrum de Wereld;Speeltuin De Eenhoorn;Tent CBR;Wijkcentrum De Ringvaart;Tent Floris van Adrichemlaan;Basisschool Al Ikhlaas;VMG Haarlem;Da Vinci, Centrum van Ontmoeting;RK basisschool De Brandaris;De Molenburg;Stadsbibliotheek Schalkwijk;Basischool De Wadden;Tent NS Station;Publiekshal Raakspoort;Patronaat;Frans Hals Museum;Badhuis Leidseplein;Wijkcentrum Oosterkerk;Activiteitencentrum & Regiokantoor DOCK;Provincie Noord-Holland;Koningkerk;Wijkcentrum De Horizon;Wijkcentrum de Wereld;Wijkcentrum De Ringvaart;Tent NS Station;Publiekshal Raakspoort;Badhuis Leidseplein;Wijkcentrum Oosterkerk;Activiteitencentrum & Regiokantoor DOCK;Provincie Noord-Holland;Koningkerk;Wijkcentrum De Horizon;Wijkcentrum de Wereld;Wijkcentrum De Ringvaart;Tent NS Station;Publiekshal Raakspoort
;;13;van Rijswijk, I. P.;62;1;5;1;1;0;4;0;0;0;2;1;0;0;0;2;3;0;1;0;0;1;1;1;0;0;0;0;0;4;0;2;1;0;0;0;1;3;0;0;1;1;0;0;2;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;2;1;1;0;0;1;0;0;0;1;2;0;3;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;1
;;14;Helweg, J. M.;35;5;1;1;0;1;0;0;0;0;1;1;3;0;1;0;1;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;15;Hunting, M.;10;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;16;Gaasbeek - Wielinga, S. M.;17;0;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Keesmaat, S.;38;0;3;0;1;0;0;0;0;0;2;1;0;0;0;3;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;2;0;1;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;2;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0
;;18;Huurdeman, J. H. A.;27;1;0;0;0;3;1;1;3;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Wylick, I. E.;33;1;1;0;0;2;3;0;1;1;2;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van Eeden, J. M.;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;21;Hilders, J.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Lippus, C. J.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;23;Derckx, B.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;24;Westra, H. K.;10;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Zwaanswijk, P.;20;2;1;0;0;2;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
;;26;Kwee, T. H.;16;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0
;;27;van Os, P. J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Reeskamp, F. H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;29;Buiten, N. C. M.;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Kortekaas, T. A. M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Roetman, I. M.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;32;Ouwens, J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Zwaanswijk, P. D.;15;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0
10;Jouw Haarlem;;;2927;92;25;20;57;56;21;21;21;29;25;50;62;49;47;53;17;42;16;30;45;23;22;27;24;12;16;14;20;7;13;18;37;19;13;13;25;39;26;44;40;54;19;15;36;10;17;34;21;36;23;42;38;33;33;45;54;2;16;18;8;61;75;19;21;53;25;107;58;17;71;41;63;17;16;36;29;15;13;10;11;2;19;11;11;19;22;17;34;14;28;14;22;19;15;38;40;28;32
;;1;Aynan, M.;940;33;10;5;7;19;5;9;10;9;6;21;22;15;26;16;14;8;6;9;19;4;7;6;6;4;8;3;4;0;7;2;8;4;3;8;12;17;10;21;12;27;10;5;13;3;9;20;9;15;10;8;9;11;8;18;18;1;7;3;7;16;14;6;8;6;4;11;9;6;19;13;25;3;7;13;10;6;7;6;5;0;6;7;5;6;4;11;6;6;13;5;7;13;2;9;2;12;6
;;2;Scholten, A.;507;15;6;8;10;7;4;1;0;4;6;13;16;18;11;13;1;6;2;1;7;7;1;3;4;1;6;2;5;0;4;8;21;6;4;1;5;12;6;9;3;14;3;6;7;1;1;8;4;8;5;12;7;2;4;12;9;0;4;5;1;6;4;1;3;4;7;4;3;1;13;3;8;5;1;4;3;1;6;2;1;0;5;3;0;5;2;6;3;0;4;2;4;3;2;7;1;6;4
;;3;Azannay, A.;335;1;0;0;1;0;2;0;2;1;0;0;0;0;0;3;0;7;1;2;1;0;0;3;1;0;0;1;0;0;0;0;0;0;0;3;1;0;1;0;6;2;0;0;2;0;0;0;0;0;3;0;0;6;6;3;7;0;0;0;0;12;21;2;6;15;7;75;40;7;19;2;0;5;6;3;3;0;0;0;0;0;0;0;0;0;9;0;0;0;0;1;0;0;3;7;26;0;0
;;4;Peetoom, W.P.;100;9;1;3;2;2;1;4;0;2;0;1;2;1;1;0;0;0;1;3;2;0;2;0;1;1;0;0;1;1;0;0;1;1;0;1;1;2;0;2;1;0;1;1;3;1;0;2;0;3;0;1;0;0;0;1;1;0;0;2;0;2;2;1;0;2;0;2;0;1;1;3;1;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;8;1;1;0;0;1;0;0;0;3;1
;;5;Steeman, L.H.;106;0;0;1;1;0;0;2;0;1;0;1;0;1;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;4;1;0;0;2;0;0;0;0;0;2;1;0;1;2;0;0;0;0;3;0;15;6;1;0;0;0;0;0;0;7;9;19;0;2;0;0;0;0;1;1;0;0;0;0;4;0;0;0;1;1;0;1;0;2;2;0;1;1
;;6;Nelissen, J.M.;104;8;0;0;1;6;0;0;3;2;2;4;4;3;3;3;0;5;0;0;0;0;2;0;1;0;0;0;5;0;1;5;1;1;1;0;1;2;0;3;1;1;0;1;0;0;0;0;0;0;1;1;1;1;1;3;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3;0;0;4;1;3;0;0;0;1;1;0;0;0;0;0;2;1;1;0;2;1;0;0;0;0;2
;;7;Saan, B.;57;3;0;0;0;0;0;0;0;0;0;1;4;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;3;1;1;0;0;0;0;4;11;1;2;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;8;0;1;0
;;8;Stroo, C.J.;68;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;3;2;0;0;0;0;1;0;0;1;4;1;0;16;12;1;2;1;2;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;1;1;0;1;0
;;9;Touw, M.C.;127;2;0;1;25;2;0;0;1;0;1;4;7;0;0;2;0;1;0;2;1;0;0;0;4;0;0;1;0;3;1;0;1;0;2;0;1;0;0;0;1;1;1;0;3;1;1;0;1;1;0;0;2;4;2;0;2;1;2;0;0;0;0;1;0;0;2;1;0;2;1;1;3;1;0;3;9;0;0;0;0;0;0;0;2;1;0;0;4;1;0;0;3;0;1;0;0;0;6
;;10;Nelemaat, R.;51;2;0;0;2;13;0;0;0;2;3;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;2;0;0;2;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;1;0;1;1;0;0;2;0;0;0;0;1;1
;;11;van Wezel, S.;31;3;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;3;0;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
;;12;Keesom, C.H.J.;32;4;1;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;2
;;13;van de Peppel, F.;13;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
;;14;Orlandini, G.;26;1;1;0;0;0;1;1;0;2;1;0;0;1;0;1;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0
;;15;Assmann, J.;25;1;0;0;2;1;0;0;0;0;1;1;2;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;16;Schepers, R.;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;17;Kuiper, F.J.;21;0;0;0;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2
;;18;Tholen, M.;19;0;0;0;0;0;3;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;19;Timmers, A.W.G.;39;0;0;1;0;0;0;0;0;0;0;2;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;3;1;0;0;1;0;0;2;0;2;2;7;0;1;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;20;Lodeweegs, M.;18;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Ankoné, G.J.A.;10;0;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Bulsing, P.;34;6;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;2;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;2;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Sari, S.;158;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;7;1;12;10;9;3;9;3;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;11;3;0;24;3;9;4;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;1;4;6;0;0;0;0;10;0;0
;;24;van Heuven van Staereling, L.P.;92;1;0;1;3;3;1;3;3;6;1;1;1;3;2;2;0;2;0;0;2;1;0;1;0;2;0;1;1;0;0;0;0;0;0;0;0;1;1;1;5;0;2;0;3;0;0;1;1;0;0;2;3;2;0;4;1;0;0;0;0;2;1;1;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;1;1;0;2;0;0;0;0;0;3;1;1;0;0;1;0;0;1;2;2
11;Hart voor Haarlem;;;2436;57;37;11;20;36;24;29;11;15;23;55;93;61;77;26;17;31;12;18;22;4;20;9;12;14;34;49;24;58;21;12;19;33;17;24;35;40;23;32;38;47;25;33;44;16;32;31;12;31;16;43;17;25;33;39;51;7;16;45;33;23;20;14;7;16;3;21;8;7;29;30;42;13;7;41;34;8;21;13;10;1;16;11;9;21;9;12;12;20;11;12;31;27;23;18;12;17;18
;;1;van Zetten, L.C.;1669;32;18;9;11;19;15;22;10;10;20;33;78;54;66;18;11;21;12;14;16;2;8;4;10;10;24;28;10;44;16;4;14;22;9;10;22;25;17;20;28;35;19;19;33;12;25;19;6;26;15;26;10;16;20;29;37;7;11;34;29;17;12;11;6;11;1;17;7;5;16;23;29;9;3;24;14;6;13;10;7;0;12;7;6;18;7;6;10;14;4;8;19;17;15;12;7;10;12
;;2;Otten, M.;268;4;5;1;3;9;3;4;0;4;1;10;6;2;5;2;2;4;0;0;3;1;3;3;0;2;3;6;5;4;0;2;1;8;1;3;8;4;2;3;2;6;4;5;3;1;3;5;2;2;0;6;1;1;3;9;8;0;2;4;2;2;0;1;1;2;0;2;1;0;0;1;6;3;2;3;8;1;6;2;1;0;0;1;2;0;0;0;0;3;5;2;3;1;4;6;0;1;2
;;3;Mohr, D.;48;0;2;0;0;0;2;0;0;0;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;2;4;3;2;3;0;0;0;1;0;2;1;0;2;2;1;0;0;0;0;2;0;0;1;0;0;1;2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;4;IJsbrandij, C.M.;40;1;1;0;0;1;1;0;0;1;2;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;2;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;2;0;0;0;0;0;0;0;3;0;0;6;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;0;0;0;0;0
;;5;Zoon, M.;82;6;6;0;1;1;0;0;1;0;0;2;1;1;1;0;1;1;0;1;0;1;2;0;0;0;0;1;1;0;1;0;2;1;2;0;0;1;1;0;0;2;1;2;0;0;0;1;0;1;0;1;4;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;6;1;1;0;1;2;0;2;0;0;0;1;2;1;0;0;0;2;2;1;0;1;2;1
;;6;van der Werff, J.P.G.;133;7;3;0;2;1;0;0;0;0;0;2;3;3;1;0;3;2;0;0;1;0;2;1;1;1;0;0;0;2;0;1;1;0;2;10;2;2;0;1;3;0;1;5;2;0;1;3;1;1;0;2;0;4;7;0;4;0;1;2;0;1;0;0;0;3;2;0;0;1;7;2;0;0;1;5;1;0;1;0;0;1;0;1;1;0;0;2;0;2;1;0;1;3;3;0;3;0;0
;;7;Peeters, J.A.P.M.;37;3;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;4;0;0;1;0;0;1;0;0;5;1;1;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;3
;;8;van Meel, A.P.;15;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;9;Groen, H.;21;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Lamers, P.A.Q.M.;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
