Verkiezing;;Gemeenteraad Alkmaar 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Alkmaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau De Waag;Stembureau Kapelkerk;Stembureau Doopsgezinde Gemeente;Stembureau Tent Parkeerterrein AH XL;Stembureau Kantine Sporthal Oosterhout;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Buurthuis Overdie Ontmoet;Stembureau Wijkcentrum Oud Overdie;Stembureau Murmellius Gymnasium;Stembureau Tent Labotheek NWZ;Stembureau Tent Stationsplein NS;Stembureau Sociëteit K.B.O.;Stembureau Drafcentrum Alkmaar;Stembureau De Vrijheidskerk;Stembureau Gymzaal G. Metsulaan;Stembureau De Open Hof;Stembureau De Alkenhorst;Stembureau Gasfabriek;Stembureau Gymzaal Beethovensingel;Stembureau Buurthuis de Wachter;Stembureau Tent Vroonermeer (1);Stembureau Tent Vroonermeer (2);Stembureau Speeltuin OKB;Stembureau Wijkcentrum De Oever (1);Stembureau Wijkcentrum De Oever (2);Stembureau Gymzaal Stempelmakerstraat;Stembureau Leger des Heils;Stembureau De Rekere 2.0;Stembureau Scouting Graaf Daron;Stembureau Wijkcentrum Wijkwaard;Stembureau Lukaskerk;Stembureau Sporthal Alkmaar Noord (1);Stembureau Sporthal Alkmaar Noord (2);Stembureau de Blije Mare (1);Stembureau De Blije Mare (2);Stembureau Gymzaal De Vlieger (1);Stembureau Gymzaal De Vlieger (2);Stembureau Clubhuis Celeritas;Stembureau Wijkcentrum Daalmeer;Stembureau Tent Basketbalveld;Stembureau De Hofstaete;Stembureau Gymzaal Saturnusstraat (1);Stembureau Gymzaal Saturnusstraat (2);Stembureau V.V. Kolping Boys;Stembureau De Rietschoot;Stembureau Brandweerkazerne Koedijk;Stembureau Grote Kerk Schermerhorn;Stembureau Dorpshuis De Hoeksteen;Stembureau De Woeste Hoeve;Stembureau 't Wavertje;Stembureau Cafe 't Torenerf;Stembureau Het Rijperhuis;Stembureau Sporthal Oosterven;Stembureau Dorpshuis Onder de Boom;Stembureau SV West-Graftdijk;Stembureau 't Trefpunt;Stembureau Stadhuis;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Tent Stationsplein NS;Stembureau De Vrijheidskerk;Stembureau Tent Vroonermeer;Stembureau Wijkcentrum De Oever;Stembureau De Rekere 2.0;Stembureau De Blije Mare;Stembureau Wijkcentrum Daalmeer;Stembureau De Hofstaete;Stembureau De Rietschoot;Stembureau Grote kerk Schermerhorn;Stembureau Dorpshuis Onder de Boom;Stembureau Stadhuis;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Tent Stationsplein NS;Stembureau De Vrijheidskerk;Stembureau Tent Vroonermeer;Stembureau Wijkcentrum De Oever;Stembureau De Rekere 2.0;Stembureau De Blije Mare;Stembureau Wijkcentrum Daalmeer;Stembureau De Hofstaete;Stembureau De Rietschoot;Stembureau Grote Kerk Schermerhorn;Stembureau Dorpshuis Onder de Boom;Stembureau Mobiel Bijzonder stembureau (1);Stembureau Mobiel Bijzonder stembureau (2)
;;34;van den Bosch, P.L.C.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;de Boer, A.M.A.;9;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;36;Spruijt, P.P.N.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;37;Dubois, J.A.J.;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;38;Carper, R.L.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;39;de Weijer, V.H.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Stoffer, A.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;41;de Jongh, J.I.A.;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Dieke, A.;54;0;1;0;1;0;0;0;0;1;3;0;1;1;2;1;0;0;1;2;0;3;2;1;0;0;1;0;0;5;0;0;2;0;1;0;1;2;0;0;0;0;1;1;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;3;2;1;1;0;0;0;0;0;1;0;0;0;0;3;1;0;0;0;2;1;0;0;0;1;0;0;0;0;0
8;SeniorenPartij Alkmaar (SPA) ouderen;;;2640;38;13;20;24;68;18;29;30;19;47;30;43;14;31;20;46;13;10;58;1;49;37;7;16;24;31;33;24;34;36;49;147;21;14;17;22;24;24;29;38;73;23;28;21;24;17;26;41;7;31;8;7;7;13;20;8;16;6;20;45;39;17;55;12;59;41;61;56;52;22;5;10;42;29;34;11;48;20;88;26;63;70;45;25;3;12;5;1
;;1;Epskamp, A.J.;1353;16;4;7;8;30;7;13;19;11;20;15;29;7;16;9;20;8;5;24;1;26;12;4;11;10;17;22;9;14;13;25;74;6;9;13;12;18;13;16;18;35;3;16;13;11;9;14;29;6;23;7;3;6;9;16;6;12;4;9;25;17;9;30;5;33;10;38;37;17;14;3;7;18;11;15;3;27;14;48;10;42;38;19;12;2;3;3;1
;;2;van Vliet, C.G.;251;6;1;6;1;3;4;4;2;0;5;1;3;1;5;6;9;1;1;9;0;12;3;1;0;0;1;4;2;3;3;3;4;2;2;0;0;1;2;2;1;6;2;0;2;0;2;1;2;0;1;0;0;1;0;0;0;0;0;4;6;7;1;9;1;6;7;5;2;2;0;0;1;7;4;5;5;12;1;9;0;5;8;7;2;1;3;0;0
;;3;Spek, S.;296;7;2;3;5;5;1;3;3;0;3;3;3;1;1;1;3;1;2;4;0;3;3;0;1;6;5;0;6;4;6;6;9;7;1;2;4;1;3;3;5;5;8;2;2;3;0;2;4;0;3;1;3;0;2;4;1;4;1;2;5;4;4;7;2;10;5;6;6;6;3;0;2;3;2;5;2;3;1;20;4;7;7;5;4;0;0;0;0
;;4;van der Heijde, P.T.;88;0;0;1;0;2;3;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;4;37;1;0;0;0;1;2;0;3;0;0;1;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;1;0;1;0;2;0;0;7;1;1;2;1;0;0;0;0;0;0;1;0;1;1;1;0;2;0;0;2;0;0
;;5;Sinot, P.R.;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;1;0;0;0;1;0;2;9;2;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0
;;6;van Ingen Schenau - Wijker, A.A.;114;4;0;1;3;6;0;1;1;0;3;5;5;4;1;0;3;0;1;2;0;3;0;0;2;4;0;0;2;1;1;1;3;0;1;1;1;1;1;0;1;2;3;1;1;2;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;2;3;2;3;2;2;2;1;1;0;2;3;0;1;2;0;0;1;2;5;1;1;0;1;0;0
;;7;Kaijer, F.C.C.;31;2;1;2;1;1;0;0;2;3;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Vierbergen, G.J.;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;1;1;3;10;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;3;3;0;0;0;0;1;2;0;0;0;1;0;0;3;0;3;0;0;0;0
;;9;Tak - Hoogendijk, C.;81;0;0;0;0;3;0;4;1;0;10;2;0;0;1;0;2;0;0;2;0;2;15;0;0;0;1;1;1;2;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;1;4;0;0;0;0;0;1;0;0;0;0;0;0;1;2;1;2;1;1;0;2;2;0;0;0;0;0;2;1;0;0;0;0;4;1;0;1;0;1;0;1;0;0
;;10;de Groot, B.L.;23;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Opdam - Pieterse, T.;80;1;2;0;1;0;1;4;1;3;1;2;1;0;0;2;1;0;0;4;0;1;2;0;0;3;1;3;1;2;0;0;2;0;0;0;0;0;0;0;0;3;1;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;2;3;3;1;0;0;4;0;2;0;1;1;0;0;6;1;1;0;3;0;1;0;1;0;1;0;0;0;2;0
;;12;Vreeker, A.;56;0;2;0;3;9;0;0;0;1;2;2;1;0;3;2;2;0;0;3;0;2;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;3;1;1;0;0;0;1;1;0;1;0;1;0;0;0;0
;;13;van Erk, M.G.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;14;van Beckhoven, R.C.;19;0;0;0;0;0;1;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0
;;15;Bootsma, O.H.;11;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
;;16;Mazereeuw, C.;80;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;2;0;1;1;0;0;0;0;1;0;1;0;1;1;2;2;2;2;0;0;1;0;1;2;5;4;2;3;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;17;1;1;0;0;1;1;0;0;2;1;1;0;2;9;0;0;0;0;0
;;17;Meure, I.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Glas - Wolters, N.;13;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
;;19;Meeuwisse, S.C.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;20;Tamis, A.J.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;1;1;2;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;21;Hoogenbosch, P.J.M.J.;20;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;2;1;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0
9;Leefbaar Alkmaar;;;3028;54;30;39;17;77;19;49;89;123;28;29;46;49;43;24;53;18;11;75;17;53;39;31;40;32;39;30;52;42;36;32;51;37;14;13;38;30;19;20;15;85;29;30;32;33;26;30;34;27;120;39;42;34;45;59;30;31;20;38;25;46;12;19;12;25;22;25;25;4;3;10;7;50;47;61;22;24;17;45;20;40;41;21;26;8;32;1;1
;;1;Hagens, J.C.;987;16;6;14;5;17;5;8;12;3;3;9;17;16;11;6;12;10;1;17;4;15;8;9;12;5;16;9;19;13;13;10;19;9;8;5;18;12;8;2;6;33;5;10;8;13;10;11;12;19;107;30;32;18;12;17;16;13;11;9;11;4;7;8;2;7;5;6;5;0;1;5;2;9;12;8;6;7;1;13;6;18;16;5;13;6;10;0;0
;;2;Bolte, M.N.;938;28;16;17;8;31;7;15;16;2;10;16;22;20;20;15;25;5;4;9;9;24;19;11;19;18;8;9;21;19;8;15;20;10;1;2;11;11;3;10;6;34;12;14;5;6;10;10;13;0;4;5;4;2;5;2;1;3;6;22;6;14;4;4;8;12;7;8;10;1;1;4;0;29;23;6;13;9;13;13;8;13;11;7;11;0;4;1;0
;;3;Ezhar, M.;525;5;0;1;1;19;3;21;53;116;15;0;2;4;4;1;6;2;4;41;2;2;7;7;5;2;7;1;6;4;3;2;8;5;1;1;1;3;3;2;0;6;4;0;0;1;0;1;3;4;1;0;0;0;2;1;0;1;1;3;3;27;1;3;0;0;8;3;3;1;0;0;0;3;4;43;0;4;1;7;4;1;7;3;1;0;0;0;0
;;4;Biesheuvel, W.;265;2;1;3;2;3;2;0;4;0;0;2;2;5;5;1;5;1;1;2;0;5;3;1;1;0;0;0;2;1;4;1;1;5;2;1;4;2;4;1;2;4;1;2;2;1;1;3;2;1;6;4;5;5;24;39;13;14;2;1;4;1;0;1;0;1;0;3;2;1;0;0;5;5;1;1;1;1;0;0;2;1;3;1;1;1;18;0;0
;;5;de Goede, P.F.;46;1;0;0;1;2;0;3;1;1;0;0;1;2;1;0;0;0;0;0;0;3;0;3;1;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;4;3;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;1;1;0;2;0;0;1;0;1;0;1;0;0;0;0;0
;;6;Houdijk, M.L.M.;106;1;3;2;0;3;2;1;1;0;0;1;0;1;0;0;3;0;0;3;1;1;1;0;0;5;2;8;0;1;3;2;2;3;1;2;2;1;0;1;1;1;2;1;6;6;2;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;4;2;0;2;0;0;0;0;2;3;0;0;0;0;8;0;2;1;0;0;0;0;0;0
;;7;Dijkstra, R.;30;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;2;1;1;0;0;0;2;0;3;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;1;0;0;0;0;0;1;1;0;0;1;0;0;2;0;0;0;1;0;0;0
;;8;Wagner, P.T.;30;0;0;0;0;2;0;0;0;0;0;1;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;8;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;3;0;0;0;0;0
;;9;Janmaat, M.W.;25;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;1;2;1;0;3;0;1;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;10;Olijmulder, M.I.N.D.;76;0;3;2;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;1;3;1;0;1;0;5;3;1;1;2;1;1;0;0;0;0;1;1;1;0;0;1;0;10;4;2;2;2;1;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;1;0;1;1;0;1;0;0;1;1;2;0;2;1;2;0;2;1;0;0;0;0;0;1
10;Partij voor de Dieren;;;2766;86;35;46;29;45;31;67;34;9;27;48;40;74;29;36;55;18;14;26;9;55;44;24;24;53;28;43;47;43;55;36;41;24;14;23;31;30;20;21;15;74;45;35;20;24;17;43;42;26;32;13;35;17;35;31;30;26;15;43;27;8;31;38;12;36;15;36;27;14;18;2;11;64;45;20;47;49;13;44;32;44;25;13;25;13;20;1;4
;;1;Pınar, K.;1102;32;12;15;16;12;10;21;4;5;12;26;18;24;17;12;31;5;5;10;4;21;20;10;9;22;13;13;24;18;21;18;15;10;7;11;17;12;14;9;4;35;13;15;7;9;7;13;16;9;23;10;16;7;14;7;11;9;4;15;8;4;13;17;4;16;9;13;9;2;10;0;5;29;20;9;12;22;4;16;9;19;7;8;7;5;4;0;2
;;2;Pesie, S.M.;941;24;14;23;7;27;11;26;16;1;5;11;18;24;9;16;14;7;3;11;4;20;14;8;8;17;10;16;14;18;19;12;10;9;5;6;8;11;5;7;6;22;13;9;11;10;6;13;13;8;5;1;8;9;12;7;5;5;7;14;9;4;9;15;7;11;4;15;10;6;3;2;3;22;17;8;21;13;3;19;16;16;11;3;8;5;7;0;2
;;3;Beeke, G.P.;82;7;0;1;0;0;0;3;1;0;1;2;0;1;0;1;1;1;0;1;0;2;1;0;0;1;0;2;2;0;2;0;2;0;1;0;1;0;0;2;0;2;2;0;1;1;3;1;0;2;0;0;1;0;1;1;0;0;0;3;1;0;1;2;1;1;0;0;1;2;0;0;1;4;1;0;1;4;0;2;0;3;0;0;1;2;0;0;0
;;4;Boots, R.J.;45;0;0;1;3;2;1;0;2;0;1;0;1;3;0;0;1;0;1;0;0;0;2;0;0;1;0;3;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;2;0;0;0;0;0;0;2;0;2;0;1;1;1;0;2;0;0;0;2;0;0
;;5;Zoon, F.A.S.;75;1;0;0;0;0;0;1;2;0;0;2;0;0;0;1;0;1;0;0;0;1;0;1;0;3;2;0;0;2;0;0;3;1;0;0;0;2;1;0;0;0;4;4;0;0;0;14;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;1;2;0;1;0;1;1;2;1;1;0;2;0;0;0;7;0;0;0;0
;;6;van de Poll, M.A.;200;7;6;4;2;1;5;4;2;1;3;3;2;6;1;4;1;2;0;3;0;8;2;0;2;4;0;6;4;1;5;5;2;1;1;3;4;4;0;0;2;8;9;4;1;3;0;2;4;3;1;0;3;0;1;0;2;1;1;6;4;0;2;1;0;0;0;5;5;1;0;0;0;3;2;2;2;3;2;3;0;0;1;0;2;0;1;1;0
;;7;Scholtz, A.P.;62;6;1;0;1;0;0;3;0;0;0;0;1;3;0;0;2;1;0;0;0;0;0;0;2;0;0;1;2;3;5;0;6;1;0;1;1;0;0;1;0;3;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;2;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;3;0;1;0;0;1;0;0;0
;;8;Schuckman, A.J.;66;0;0;0;0;1;2;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3;0;0;4;1;6;14;10;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;5;0;0
;;9;de Goede, B.A.K.;35;0;1;1;0;0;0;2;3;0;0;0;0;0;0;2;1;0;0;0;0;0;0;2;1;1;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;2;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;3;0;0;0;0;0;0
;;10;van Dam - Kooijman, C.E.M.;64;4;1;0;0;0;0;1;1;2;1;1;0;6;1;0;2;1;1;0;1;2;2;1;0;2;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;2;0;0;1;0;1;0;1;2;0;0;4;1;0;5;2;0;1;1;1;0;0;0;0;1;0;0
;;11;Visser, J.;94;5;0;1;0;2;2;6;3;0;4;3;0;5;1;0;1;0;4;1;0;1;3;2;2;2;1;2;0;0;1;0;2;0;0;2;0;1;0;1;1;2;0;3;0;0;0;0;1;0;1;0;0;0;0;2;2;1;1;4;1;0;1;1;0;1;0;0;1;1;0;0;0;1;1;0;2;1;0;1;0;4;0;2;0;0;0;0;0
11;ChristenUnie;;;1230;15;8;34;14;23;1;18;17;5;3;12;6;20;20;10;20;5;9;25;2;26;5;20;18;10;19;11;21;26;20;20;29;11;13;9;24;25;11;19;17;41;20;24;14;13;15;11;17;2;11;8;3;7;7;15;1;1;5;22;9;8;8;21;12;28;14;28;22;9;5;3;0;25;14;9;10;21;16;18;7;19;28;18;11;1;3;3;2
;;1;van Veen, R.C.M.M.;555;8;3;16;10;8;0;7;8;2;1;6;5;4;6;6;8;2;2;10;1;10;2;8;10;5;10;6;12;6;6;12;17;4;3;3;13;11;4;13;9;17;11;12;7;6;10;4;9;2;4;4;1;4;3;9;1;0;3;10;1;4;2;10;7;9;5;21;6;5;3;1;0;9;9;4;2;10;9;7;3;7;11;7;6;0;1;2;0
;;2;Horb, K.W.;53;1;0;1;0;1;1;3;3;0;0;0;0;2;0;0;2;0;1;1;0;1;0;2;1;0;0;0;1;1;0;1;1;0;1;0;1;1;0;0;0;3;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;1;1;3;0;1;0;0;0;0;4;0;1;0;2;0;0;0;3;1;0;0;0;0;0;0
;;3;Regterschot, H.;48;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;3;1;2;2;0;0;2;0;4;4;0;0;0;0;0;2;3;0;1;0;0;2;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;3;0;0;0;1;0;0;1;0;0;2;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0
;;4;Lankhorst, M.C.;31;0;0;2;0;1;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1
;;5;Boersma - Ellen, A.M.;275;1;1;8;3;7;0;4;3;1;2;4;0;8;11;3;6;1;5;7;0;7;1;6;1;1;7;1;5;5;6;1;3;3;5;0;5;8;4;2;4;6;1;6;4;2;1;1;5;0;4;3;2;2;4;4;0;1;2;8;3;3;4;5;1;2;0;3;4;3;1;0;0;4;1;1;1;4;4;7;1;5;4;4;1;0;1;1;1
;;6;Akkerman, S.;37;0;1;3;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;3;0;0;1;0;0;2;0;0;0;0;1;2;1;1;0;0;2;1;0;0;0;0;0
