Verkiezing;;Gemeenteraad Ermelo 2022;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Ermelo;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0233;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Maranathakerk;Chr. Ger. Kerk;Gemeentehuis;Rehobothkerk;Sporthal Dindoa;De Baanveger;Weth. Balverszaal 1;Sportcentrum Calluna;De Oude School 's Heeren Loo;Ons Huis;RK Kerk;Weth. Balverszaal 2;Sporthal Triade;SmdB Speulderbrink;De Westerkerk;Proson, restaurant bon appétit;Gemeentehuis maandag;Gemeentehuis dinsdag;RK kerk maandag;RK kerk dinsdag;Westerkerk maandag;Westerkerk dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;20;21;22;23;24;25
Postcode;;;;;3851 XR;3851 XA;3851 NT;3851 LH;3853 PT;3851 CP;3853 PR;3851 BC;3853 HD;3853 LN;3852 XB;3853 PR;3852 ZX;3852 NH;3853 JK;3851 ZH;3851 NT;3851 NT;3852 XB;3852 XB;3853 JS;3853 XB
;;15;van Dalfsen, D.J.;19;0;0;3;0;2;0;1;2;3;0;0;1;0;5;0;1;0;0;0;0;1;0
;;16;van Bentum, G.;30;1;1;1;1;3;1;1;0;1;10;0;1;0;3;1;3;0;0;0;0;0;2
;;17;Groen, B.J.;11;0;0;0;0;0;2;1;3;0;0;0;0;1;0;1;1;0;0;0;2;0;0
;;18;van Panhuis, J.H.;5;0;0;0;0;1;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;19;Tomassen, T.;33;1;5;3;0;1;1;1;0;5;8;0;0;0;3;2;0;1;2;0;0;0;0
;;20;Snoek, F.N.;13;1;0;0;2;1;1;0;3;1;0;1;0;1;0;0;0;0;2;0;0;0;0
6;VVD;;;1353;101;161;117;65;31;49;31;42;40;59;92;52;117;24;90;28;59;67;33;39;19;37
;;1;van der Weide, H;973;71;109;85;50;19;40;22;32;25;35;76;27;104;16;69;20;44;41;24;34;12;18
;;2;van den Broek, M.B.C.M.;103;11;13;7;3;2;3;0;3;5;6;4;7;4;2;10;2;4;2;3;3;4;5
;;3;Brouwer, G.J.;59;6;10;3;2;2;1;0;1;3;4;1;1;2;1;7;2;3;5;2;0;0;3
;;4;Spijker, R.E.;27;2;0;3;0;3;1;1;1;1;1;0;8;0;1;0;1;0;3;0;1;0;0
;;5;Borra, M.T.;16;1;2;3;0;0;1;0;0;0;1;0;0;0;0;1;3;1;2;0;1;0;0
;;6;Spijker, P.;67;4;5;9;5;4;1;5;3;2;6;2;6;2;0;2;0;3;4;0;0;0;4
;;7;Mijnssen, T.J.;21;1;0;3;0;0;0;0;0;0;1;2;0;2;0;0;0;1;6;1;0;1;3
;;8;Koelewijn, R.J.;14;0;0;0;0;1;0;0;1;0;0;1;3;0;0;1;0;0;0;3;0;0;4
;;9;Midden, L.J.;6;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;2;0;0;0;0
;;10;de Haan, J.A.;67;5;22;4;4;0;2;3;0;4;5;6;0;3;2;0;0;3;2;0;0;2;0
7;één-Ermelo;;;2777;154;170;208;231;93;168;77;179;72;63;128;126;185;42;181;96;122;151;55;72;65;139
;;1;Luitjes, H.;947;62;59;64;60;31;47;18;47;23;30;44;36;66;21;56;43;49;55;39;28;27;42
;;2;Terpstra, J.D.;436;28;28;24;40;14;23;16;23;20;12;17;20;29;9;28;14;21;21;7;9;6;27
;;3;Garritsen, P.J.;123;6;4;9;35;5;11;2;5;3;0;4;2;1;1;7;4;6;4;0;5;3;6
