Verkiezing;;Gemeenteraad Apeldoorn 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Apeldoorn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau ACEC;Stembureau Parochiecentrum Emmaüshuis;Stembureau Nieuw-Apostolische Kerk Apeldoorn;Stembureau De Grote Kerk;Stembureau Kerk de Koningshof;Stembureau Gereformeerde Gemeente Apeldoorn;Stembureau Scheidsrechtersvereniging;Stembureau Gymzaal Buys-Ballotstraat;Stembureau Wijkcentrum De Groene Hoven;Stembureau Orpheus;Stembureau Gymzaal Burglaan;Stembureau Scouting SWIII/LBP;Stembureau ALTV Daisy;Stembureau Gymzaal Jupiterlaan;Stembureau Sporthal Sprengeloo 1;Stembureau Sporthal Sprengeloo 2;Stembureau Duivensportcentrum;Stembureau Goede Herderkerk;Stembureau Victorkerk;Stembureau Gymzaal Germanenlaan;Stembureau Wijkcentrum Orca;Stembureau 't Buurtpalet (kindervreugd);Stembureau Wijkcentrum Vrijzicht;Stembureau Postduivenvereniging Holthuizen;Stembureau a.v.v. Columbia;Stembureau Denksportcentrum Apeldoorn;Stembureau Buurthuis Maasstraat;Stembureau DokZuid;Stembureau Sporthal Zuiderpark 1;Stembureau Sporthal Zuiderpark 2;Stembureau De Hofstad;Stembureau Buurthuis 't Vogelnest;Stembureau Gymzaal Groenlingweg;Stembureau ROC Aventus;Stembureau Gymzaal Glazeniershorst;Stembureau Gymzaal Eekschillersdreef;Stembureau Gymzaal Voldersdreef;Stembureau Gymzaal Burgersveld;Stembureau Gymzaal Edelenveld;Stembureau Gymzaal Matenpark;Stembureau Gymzaal Rederijkershoeve;Stembureau s.v. Groen Wit '62;Stembureau Gymzaal Valkeniersdonk;Stembureau Gymzaal Steenhouwersdonk;Stembureau Gymzaal Warenargaarde;Stembureau Omnisport 1;Stembureau Omnisport 2;Stembureau Het Bolwerk;Stembureau Klootschietvereniging Het Woudhuis;Stembureau Gymzaal Fortlaan;Stembureau Gymzaal Keerkring;Stembureau Gymzaal Aristotelesstraat;Stembureau CGK Andreaskerk;Stembureau Gymzaal Citroenvlinder;Stembureau Sporthal Zuidbroek 1;Stembureau Sporthal Zuidbroek 2;Stembureau Jeu de Boules Vereniging 't Zwijntje;Stembureau Gymzaal Gentiaanstraat;Stembureau Kruispunt 1;Stembureau Kruispunt 2;Stembureau Gymzaal Tormentilstraat;Stembureau Sporthal Welgelegen 1;Stembureau Sporthal Welgelegen 2;Stembureau Buurthuis Ons Huus;Stembureau Voetbalvereniging WWNA;Stembureau Kapel Hoog Soeren;Stembureau Sporthal De Schier 1;Stembureau Sporthal de Schier 2;Stembureau De Bronkerk;Stembureau Ugchelens Belang;Stembureau Gymzaal Klingelbeek;Stembureau 't Dorpshuus;Stembureau De Hoge Weye;Stembureau V.V. Beekbergen;Stembureau Het Trefpunt (PKN);Stembureau Dorpscentrum De Brink;Stembureau Gymzaal De Kempe;Stembureau Kerk Klarenbeek;Stembureau School De Bundel;Stembureau Mobiel stembureau;Stembureau Stadhuis;Stembureau De Grote Kerk;Stembureau Victorkerk;Stembureau a.v.v. Columbia;Stembureau Denksportcenrtum Apeldoorn;Stembureau Gymzaal Warenargaarde;Stembureau Klootschietvereniging Het Woudhuis;Stembureau Kruispunt 1;Stembureau WWNA;Stembureau V.V. Beekbergen;Stembureau Groot Schuylenburg;Stembureau Mobiel stembureau;Stembureau Stadhuis;Stembureau De Grote Kerk;Stembureau Victorkerk;Stembureau a.v.v. Columbia;Stembureau Denksportcenrtum Apeldoorn;Stembureau Gymzaal Warenargaarde;Stembureau Klootschietvereniging Het Woudhuis;Stembureau Kruispunt 1;Stembureau WWNA;Stembureau V.V. Beekbergen
;;20;Vollebregt- de Groot, A.J.A.;34;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;2;0;1;18;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;21;Yavuz, M.;28;2;0;2;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;2;0;0;0;0;1;0;1;2;4;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
;;22;van Velzen, K.;75;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;1;5;1;0;3;0;0;0;1;2;0;0;0;0;0;1;2;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;1;2;1;10;2;0;1;0;2;1;0;1;4;0;1;0;2;0;1;0;0;0;0;0;1;0;2;2;1;2;0;0;6
10;Staatkundig Gereformeerde Partij (SGP);;;3627;27;1;10;7;41;23;110;12;35;67;10;6;3;12;15;3;4;19;24;42;2;25;12;12;30;9;19;26;13;7;12;35;18;16;19;36;12;20;9;10;19;50;25;67;39;19;12;6;18;79;32;17;20;159;65;14;7;13;28;30;20;21;15;18;61;37;9;621;413;25;21;23;13;132;19;112;22;10;37;14;6;20;16;22;18;4;17;26;37;5;15;1;3;21;35;26;12;21;45;20;45;11;26
;;1;van den Berge, H.;2310;16;1;8;6;26;16;70;10;18;40;3;2;2;10;11;1;3;11;15;26;1;19;8;6;20;5;14;17;7;5;7;29;9;5;8;19;7;9;5;7;9;30;14;42;25;15;8;3;9;41;15;8;10;86;34;10;6;9;17;15;14;9;7;8;39;32;3;428;282;14;18;15;11;86;17;80;16;6;12;9;4;14;10;15;17;0;10;21;29;5;9;1;2;13;22;8;6;10;27;13;34;5;21
;;2;Kloosterman, J.;331;4;0;1;1;5;5;12;2;10;9;2;0;0;0;3;1;1;2;7;10;1;2;0;0;2;0;3;2;3;1;3;2;2;0;7;8;2;0;1;2;5;5;3;6;4;0;0;0;2;4;1;2;7;36;9;0;0;1;2;3;1;4;7;3;6;0;2;13;17;1;2;1;0;4;0;6;2;1;7;0;0;2;1;6;0;0;5;4;3;0;0;0;0;4;6;4;0;3;4;0;5;1;0
;;3;van de Weerd, H.;176;2;0;0;0;1;0;13;0;0;1;0;2;0;0;0;0;0;1;0;3;0;0;0;0;1;0;0;1;1;1;1;1;2;7;0;6;1;5;3;1;1;1;3;7;5;3;1;0;2;13;5;2;0;6;4;1;0;0;0;1;1;2;0;0;9;0;2;5;4;3;1;1;0;10;1;3;0;3;1;1;1;1;0;1;0;1;2;0;0;0;0;0;0;1;2;3;2;1;3;2;0;0;0
;;4;Bunt, H.T.;101;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;2;1;0;0;1;2;0;2;1;0;1;0;0;0;0;0;0;4;0;0;1;0;0;2;0;3;1;0;0;0;1;0;4;1;2;0;3;1;0;0;0;1;0;0;0;0;3;0;0;0;5;0;5;0;2;0;18;0;6;0;0;12;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;1;1;0;0;5
;;5;van Duijvenboden, P.;221;3;0;0;0;5;2;6;0;4;9;0;2;0;2;0;1;0;3;0;2;0;1;2;2;2;0;2;1;1;0;0;1;4;2;0;0;1;4;0;0;2;14;1;1;3;0;1;0;5;10;7;0;2;19;7;2;1;1;5;4;2;2;1;1;0;0;1;7;6;0;0;2;1;4;1;6;0;0;2;0;0;0;3;0;1;0;0;1;2;0;3;0;0;0;4;8;0;3;6;2;3;2;0
;;6;van den Broek, N.;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;71;42;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Mekelenkamp, H.A.;33;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;2;0;2;2;3;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;3;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0
;;8;ten Voorde, G.;26;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;6;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0
;;9;Bronkhorst, G.;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;van Hattem, J.;16;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Davelaar, A.J.;91;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;53;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Wiegman, S.A.;20;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0
;;13;Mulder, E.;12;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van de Haar, P.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Kralingen, C.W.L.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;de Kluijver, C.A.J.;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;17;van Lagen, L.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;18;Pap, J.H.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;19;Donk, R.A.C.;9;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Kooijman, A.C.;16;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0
;;21;Mulder, J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Grol, F.M.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;23;Groothuis, L.J.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;24;Leune, J.;28;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;2;1;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;0;0;0
11;Partij voor de Dieren;;;3635;90;45;37;23;115;37;13;20;30;86;28;29;45;46;26;10;10;70;73;43;15;76;19;40;72;43;21;31;30;4;32;43;6;28;40;65;38;39;29;35;38;37;23;39;46;31;16;9;27;41;37;37;30;46;69;7;13;16;37;28;16;22;23;20;22;35;15;17;16;60;60;44;62;62;33;38;49;33;26;50;6;50;63;52;29;17;33;28;55;4;25;8;4;58;53;63;18;27;18;31;49;12;20
;;1;Moulijn, M.;2379;49;26;21;16;80;27;12;10;14;42;16;19;28;30;18;5;6;45;45;30;9;48;15;23;50;27;16;26;11;2;22;29;3;18;22;30;18;18;15;23;22;24;18;26;35;18;7;5;13;25;24;22;18;31;39;5;11;8;17;21;12;16;16;14;12;22;11;10;11;43;39;36;52;59;23;33;41;29;17;33;3;37;41;38;22;11;25;21;38;3;22;1;4;27;41;41;10;17;11;21;39;7;17
;;2;Groters, R.A.;244;8;1;3;1;5;2;1;1;4;6;2;0;2;3;1;1;2;5;9;2;1;5;0;0;7;5;2;3;2;1;1;4;1;1;4;5;2;3;5;2;5;3;2;4;3;4;0;4;6;3;0;1;4;4;2;1;0;3;6;0;1;0;1;2;1;2;0;2;0;4;3;2;5;1;1;0;0;2;0;3;1;2;2;5;0;0;3;1;2;1;0;2;0;9;3;4;0;4;1;1;2;2;1
;;3;de Carpentier, Y.;336;13;4;3;2;11;4;0;2;8;13;2;6;3;3;2;0;0;11;4;5;5;6;3;8;6;6;0;2;4;0;3;1;1;3;7;4;3;7;2;4;5;4;2;2;3;0;1;0;2;4;6;7;3;4;10;1;2;2;3;2;1;1;1;1;0;1;0;1;0;4;11;2;2;0;2;3;0;1;3;2;0;3;8;3;1;4;1;2;4;0;3;0;0;9;5;8;1;2;1;5;6;0;0
;;4;Wentink, I.S.;122;7;3;4;0;4;1;0;1;0;5;1;0;2;1;1;0;1;2;4;1;0;4;0;2;1;1;0;0;3;0;3;1;1;0;1;2;0;2;0;1;2;2;1;1;0;3;2;0;1;3;4;1;0;3;3;0;0;0;2;1;0;0;2;0;2;0;1;2;0;2;2;1;0;0;2;0;2;0;0;4;0;0;2;0;0;0;2;0;0;0;0;1;0;3;2;0;0;0;1;1;1;0;0
;;5;Havekes, E.N.;100;4;0;1;1;4;1;0;1;2;6;0;1;1;2;2;0;0;4;0;0;0;4;1;1;2;0;0;0;2;0;1;2;0;3;0;3;1;0;1;1;1;0;0;0;0;3;2;0;2;4;0;1;0;1;4;0;0;0;1;2;0;0;2;3;0;0;2;0;0;1;1;2;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;1;0;0;1;0;4;0;1;1;0;0;0;0;0;0
;;6;Juwett, J.;14;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Thasing, J.A.;25;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;2;0;0;0;0;0;0
;;8;Valender, W.D.;81;3;2;2;0;2;0;0;1;0;1;1;0;1;1;0;1;0;0;2;0;0;1;0;1;0;0;2;0;5;1;0;0;0;1;3;5;0;3;1;0;0;0;0;0;1;0;3;0;1;2;0;1;1;1;6;0;0;1;4;0;1;0;0;0;0;0;0;0;0;2;2;0;2;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;3;0;0;1;0;1;0;1;0;0;1;0;0;1;0
;;9;Rous, E.;57;0;1;1;1;0;1;0;2;0;0;0;1;2;3;0;1;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;3;0;0;5;4;0;2;1;0;1;0;0;1;0;1;2;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;0;0;1
;;10;Gootjes, P.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;11;van der Veer, L.R.;33;0;2;0;0;2;1;0;0;0;2;1;0;1;0;0;0;0;0;1;1;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;12;Voss, S.H.D.;235;6;5;2;2;7;0;0;1;2;9;4;1;5;3;2;1;0;3;4;3;0;5;0;1;5;4;0;0;1;0;2;5;0;2;3;15;12;4;3;3;1;2;0;4;1;3;1;0;1;0;1;2;4;2;4;0;0;1;4;1;0;2;1;0;2;3;1;0;3;2;1;0;1;0;4;1;0;1;3;2;2;2;4;5;5;1;2;1;7;0;0;1;0;1;1;5;3;3;2;2;1;2;1
12;GB Apeldoorn (GemeenteBelangen);;;4275;84;36;43;27;67;36;10;15;31;105;23;17;10;25;38;18;9;56;56;64;31;57;17;67;77;47;36;69;57;11;46;79;29;38;38;64;42;70;56;46;46;108;71;54;66;53;19;39;37;64;45;86;41;51;132;12;17;19;39;44;25;33;38;39;47;46;12;10;15;52;69;41;30;61;29;52;71;50;140;53;2;29;27;26;24;25;42;19;46;7;19;1;5;29;48;39;24;19;47;28;36;14;16
;;1;Huigens, A.F.J.;2163;51;18;20;17;32;20;8;6;18;54;9;6;8;18;18;5;6;19;26;23;10;29;8;32;44;33;17;37;22;7;17;38;9;20;19;22;16;36;26;22;28;58;46;27;26;23;9;18;22;31;17;44;22;27;52;3;11;8;17;25;15;19;16;23;22;28;4;2;8;26;39;14;18;45;21;36;35;20;87;26;1;15;14;12;16;17;16;12;33;5;10;0;1;15;26;17;11;9;24;12;19;4;10
;;2;Leichel, J.R.;113;4;0;0;0;2;3;0;0;0;4;0;1;0;1;1;0;1;5;1;0;0;1;0;1;0;2;0;1;5;0;2;3;3;1;2;2;0;1;1;1;0;1;1;0;3;1;1;4;0;4;1;1;0;0;5;0;0;0;5;1;0;1;0;2;2;0;0;0;0;1;0;2;0;0;0;3;0;1;1;1;0;2;3;3;0;0;3;0;0;0;0;0;0;0;1;2;0;0;2;2;1;2;1
;;3;Laros, T.;663;7;6;11;6;12;7;1;1;8;16;4;4;1;3;7;8;1;13;10;15;7;9;3;11;10;3;7;8;10;1;9;8;4;7;2;9;9;15;11;4;6;23;12;13;5;8;1;10;4;17;8;15;6;10;13;4;2;2;3;4;7;5;11;7;6;5;2;3;1;11;11;8;6;8;2;4;5;7;13;13;0;4;5;0;4;2;5;2;3;2;1;0;1;6;6;9;3;4;3;7;5;2;0
;;4;van Zutphen, R.W.;76;2;1;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;3;1;4;2;2;0;2;0;0;0;0;0;1;3;3;0;8;2;4;4;0;0;1;2;0;0;0;3;0;2;0;1;0;1;0;1;0;1;0;0;0;0;0;2;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;2
;;5;van Asselt, A.M.;109;0;0;0;0;1;0;0;0;0;4;0;0;0;0;2;0;0;1;0;2;0;0;0;2;2;1;0;3;2;2;1;0;0;0;0;3;3;1;1;0;0;1;0;1;0;1;1;0;1;1;3;1;0;0;23;4;1;0;0;1;1;1;1;0;2;8;0;2;0;3;2;0;0;0;0;3;0;0;4;2;0;0;0;1;0;0;1;0;0;0;3;0;0;0;0;0;3;0;0;1;0;1;0
;;6;Veldhuis, M.;81;1;0;4;0;2;1;0;0;0;1;0;1;1;0;1;0;0;2;0;1;5;0;2;1;2;0;1;1;0;0;6;0;0;0;5;0;0;0;1;2;1;2;1;2;0;4;0;0;1;0;2;1;2;0;0;1;0;0;2;0;0;2;2;0;0;0;0;0;0;0;1;1;0;0;0;1;2;0;5;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;1;0
;;7;van der Smit, E.;254;2;0;1;1;5;2;0;1;2;6;4;0;0;1;0;1;1;3;2;2;0;4;2;1;2;4;7;6;4;0;3;11;4;2;1;4;3;5;2;4;2;7;0;3;1;1;1;1;3;2;6;3;1;2;9;0;1;0;1;2;1;1;0;2;5;1;2;1;1;6;6;2;1;0;1;0;20;15;8;4;0;2;1;1;0;0;0;5;1;0;2;1;0;1;6;1;1;4;0;1;0;0;1
;;8;Smit, M.G.;88;1;0;0;1;2;0;0;0;0;0;2;0;0;1;2;1;0;1;2;0;0;2;0;1;2;0;2;1;3;0;0;2;3;0;2;1;1;3;1;2;0;2;1;1;1;3;0;0;1;2;0;1;1;1;10;0;0;0;1;1;0;1;0;0;0;0;1;1;0;0;1;3;0;2;0;0;1;2;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;3;0;0
;;9;Woensdregt, E.;25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
