Verkiezing;;Gemeenteraad Bodegraven-Reeuwijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Bodegraven-Reeuwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1901;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;De Meent;bij Everts;De Doortocht;Dienstencentrum 'Rijngaarde';Voetbalvereniging ESTO;sporthal 'De Sporthoeve' Hal 1;sporthal 'De Sporthoeve' Hal 2;'Hollandse Boerderij';'t Wierickehuis;Dorpshuis Custwijc;Huiskamer van Waarder;Dorpshuis De Kaag;Zalencentrum De Brug Zaal 1;Zalencentrum De Brug Zaal 2;Consistorie NH-Kerk;Sporthal de Meerkoet Hal 1;Sporthal de Meerkoet Hal 2;Gemeentehuis maandag;sporthal 'De Sporthoeve' maandag;Dorpshuis Custwijc maandag;Zalencentrum De Brug maandag;Gemeentehuis dinsdag;sporthal 'De Sporthoeve' dinsdag;Huiskamer van Waarder dinsdag;Zalencentrum De Brug dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;201;207;211;214;301;307;312;314
Postcode;;;;;2411 BD;2411 VV;2411 CV;2411 DS;2411 EV;2411 LL;2411 LG;2411 LG;2411 PK;2415 AW;3465 KG;3466 LN;2811 LE;2811 CA;2811 CA;2811 GC;2811 BM;2811 BM;2411 BD;2411 LG;3465 KG;2811 CA;2411 BD;2411 LG;3466 LN;2811 CA
;;12;van Schothorst, H.J.;31;2;1;4;0;3;2;2;2;0;4;0;1;0;0;1;0;0;0;0;3;2;0;0;4;0;0
;;13;Nieuwenhuis, J.G.;52;1;0;2;0;1;0;0;2;0;3;20;9;0;0;0;0;0;0;0;2;2;0;5;1;4;0
;;14;den Hertog, G.W.;15;1;0;0;0;0;0;0;0;0;1;1;8;0;0;0;0;0;0;0;0;2;0;0;1;0;1
;;15;Wildemans, E.;6;0;0;1;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;16;van der Schans, A.A.;18;1;0;5;0;2;0;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
;;17;van der Wind, D.;14;1;1;0;0;0;0;0;0;0;5;5;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;18;Oudenaarden, A.J.;11;0;3;0;0;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
;;19;Olieman, J.J.;29;5;3;0;0;0;2;1;1;0;2;1;3;2;3;0;0;1;0;0;0;0;1;0;0;1;3
;;20;Rozendaal, J.;4;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van der Heiden, M.J.;10;2;0;0;0;1;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;22;Nap, B.;6;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;23;den Hertog, P.;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
